coragyps_atratus,ardea_alba,buteo_albicaudatus,gypohierax,harpya,milvago_chimachima,trigonoceps,aix,buteogallus,eudocimus,platalea,sarcorhamphus,vultur
ACG,PRT,NAL,NAL,EMA,OBS,CBT,NAL,AUR,OBS,SCL,LCD,ACE
OBS,OBS,SCL,OBS,NAL,NAL,MAS,OBS,OBS,SCL,ACG,OBS,ACD
AST,PRT,NAL,NAL,OBS,OBS,OBS,CBT,AUR,LIT,OBS,ACG,OBS
OBS,OBS,SCL,OBS,AUR,AUR,LIT,NAL,,OBS,NAL,OBS,ACD
ACD,PRT,NAL,NAL,OBS,NAL,MAS,CBT,,ACA,OBS,ACG,ACE
ACP,OBS,SCL,OBS,EMA,OBS,CBT,NAL,,,NAL,OBS,OBS
APV,PRT,NAL,NAL,OBS,ACD,MAS,OBS,,,ACE,ACG,LCD
OBS,AST,OBS,OBS,SCL,OBS,OBS,PRT,,,OBS,OBS,PRT
APV,PRT,NAL,NAL,OBS,ACP,MAS,OBS,,,AST,ACG,OBS
OBS,AST,OBS,OBS,ACP,NAL,OBS,NAL,,,OBS,OBS,SAC
ACG,OBS,NAL,NAL,NAL,OBS,AST,AST,,,AST,ACD,OBS
OBS,PRT,CBA,OBS,OBS,LIT,APV,OBS,,,APV,OBS,ACG
ACG,OBS,OBS,NAL,AUR,NAL,MAS,AST,,,OBS,ACP,ACP
OBS,ACG,CBA,OBS,OBS,OBS,OBS,OBS,OBS,,AST,OBS,ACG
MAS,OBS,OBS,NAL,EMA,AUR,MAS,AUR,AUR,,APV,ACE,OBS
OBS,PRT,CBA,OBS,OBS,OBS,OBS,OBS,AST,,OBS,OBS,PRT
NAL,OBS,OBS,NAL,EMA,ACD,AST,CBT,OBS,APV,APV,APV,OBS
OBS,PRT,CBA,OBS,OBS,OBS,OBS,NAL,NAL,OBS,OBS,OBS,AST
PRT,OBS,OBS,LCD,NAL,ACD,ACE,CBT,OBS,ACG,AST,APV,OBS
OBS,PRT,CBA,OBS,OBS,OBS,APV,NAL,PRT,ACA,OBS,OBS,ACE
SCL,OBS,OBS,NAL,NAL,NAL,OBS,CBT,OBS,OBS,APV,APV,ACG
OBS,ACE,SAC,OBS,OBS,OBS,ACD,NAL,PRT,ACG,OBS,OBS,OBS
SCL,PRT,OBS,NAL,NAL,CBA,MAS,AUR,OBS,OBS,SCL,APV,PRT
OBS,OBS,NAL,OBS,OBS,LIT,OBS,CBT,PRT,PRT,ACE,OBS,OBS
ACG,ACG,OBS,ACP,ECA,OBS,CBT,NAL,OBS,OBS,NAL,APV,ACA
OBS,OBS,CBA,ACA,NAL,NAL,OBS,AUR,AST,PRT,PRT,OBS,LIT
PRT,ACE,OBS,OBS,OBS,CBA,PRT,CBT,OBS,APV,OBS,APV,OBS
OBS,ACD,PRT,CBT,NAL,NAL,OBS,NAL,AUR,OBS,NAL,OBS,LIT
ACP,ACE,OBS,OBS,AUR,OBS,PRT,AUR,OBS,APV,,NAL,OBS
SCL,PRT,NAL,CBT,OBS,NAL,OBS,CBT,ACG,OBS,,APV,ACD
ACG,OBS,PRT,OBS,ECA,OBS,PRT,NAL,PRT,APV,,OBS,OBS
ACE,PRT,NAL,CBT,OBS,ACP,OBS,AUR,OBS,OBS,,APV,SAC
PRT,OBS,OBS,OBS,SCL,NAL,SCL,CBT,ACG,LIT,,OBS,OBS
ACP,PRT,AUR,CBT,OBS,OBS,OBS,NAL,OBS,OBS,,APV,ACA
OBS,OBS,NAL,OBS,NAL,NAL,SCL,AUR,ACG,LIT,,OBS,PRT
PRT,PRT,OBS,CBT,OBS,OBS,NAL,OBS,ACP,APV,,APV,OBS
ACP,OBS,LCD,OBS,ACP,CBA,SCL,ACD,OBS,OBS,,OBS,PRT
OBS,PRT,OBS,CBT,NAL,NAL,LCD,AST,ACP,ACG,,APV,OBS
AST,OBS,AUR,AST,OBS,OBS,ECA,OBS,ACA,OBS,,OBS,ACG
PRT,PRT,NAL,OBS,NAL,AST,OBS,CBT,NAL,ACG,OBS,APV,ACD
OBS,AST,OBS,NAL,OBS,OBS,ECA,AST,OBS,APV,SCL,OBS,ACG
AST,OBS,NAL,OBS,CBA,AST,OBS,OBS,AUR,OBS,ACD,APV,OBS
PRT,PRT,AST,AUR,OBS,PRT,AST,NAL,OBS,APV,AST,OBS,ACD
OBS,ACE,OBS,NAL,NAL,OBS,OBS,AST,AUR,OBS,OBS,APV,OBS
NAL,OBS,ECA,OBS,OBS,AUR,ACA,OBS,OBS,APV,SCL,OBS,PRT
CBA,ACE,OBS,CBA,SCL,OBS,OBS,NAL,AUR,OBS,OBS,NAL,AST
OBS,PRT,ACP,OBS,OBS,AUR,ACP,OBS,OBS,SAC,SCL,APV,ACE
PRT,OBS,ECA,LIT,SCL,NAL,OBS,CBT,ECA,APV,AST,OBS,OBS
OBS,PRT,OBS,OBS,OBS,OBS,ACD,NAL,OBS,OBS,ACD,APV,LCD
AUR,OBS,AUR,SCL,SCL,ACE,OBS,AST,ECA,APV,AST,OBS,AST
OBS,PRT,OBS,NAL,OBS,AST,PRT,OBS,OBS,OBS,OBS,NAL,AUR
CBA,OBS,ACP,OBS,SCL,OBS,OBS,AUR,ECA,APV,SCL,AUR,PRT
ACD,PRT,ACG,NAL,OBS,PRT,ACE,OBS,OBS,PRT,CBT,OBS,OBS
OBS,OBS,OBS,SCL,SCL,LCD,OBS,CBT,ECA,OBS,SCL,NAL,PRT
AST,PRT,AST,NAL,NAL,OBS,NAL,AST,OBS,APV,PRT,APV,OBS
OBS,OBS,OBS,OBS,OBS,NAL,OBS,OBS,ECA,OBS,OBS,OBS,PRT
CBA,PRT,AST,NAL,NAL,OBS,NAL,NAL,OBS,ACP,SCL,APV,OBS
OBS,ACP,OBS,ACP,OBS,AST,OBS,AST,ECA,OBS,CBT,OBS,PRT
SCL,PRT,AST,OBS,APV,OBS,CBT,OBS,OBS,APV,SCL,NAL,OBS
OBS,OBS,OBS,ACP,NAL,NAL,NAL,AST,SAC,OBS,ACE,APV,PRT
SCL,PRT,AST,NAL,OBS,AST,OBS,AUR,ECA,,PRT,OBS,OBS
OBS,OBS,OBS,SCL,PRT,NAL,PRT,AST,OBS,,ACE,AUR,ACE
ACP,PRT,AST,NAL,OBS,OBS,NAL,NAL,AUR,,OBS,OBS,ACD
OBS,OBS,OBS,SCL,AUR,CBA,OBS,AST,,,NAL,AUR,AST
ACD,PRT,AST,NAL,OBS,NAL,PRT,NAL,,,OBS,OBS,ACE
OBS,OBS,OBS,AST,AUR,OBS,OBS,OBS,,,AST,PRT,ACD
AST,PRT,ACG,NAL,OBS,NAL,ACG,ACG,,,ACD,OBS,OBS
OBS,OBS,OBS,OBS,SCL,ACP,ACP,OBS,,,OBS,NAL,PRT
CBA,PRT,ACG,ACP,OBS,OBS,OBS,ACG,,,SCL,APV,APV
OBS,OBS,OBS,APV,NAL,ACP,AST,OBS,,,ACG,OBS,OBS
SCL,APV,ACG,OBS,SCL,OBS,PRT,ACG,,,CBT,APV,APV
OBS,AUR,OBS,SCL,OBS,ACG,AST,PRT,,CBA,OBS,OBS,OBS
SCL,APV,ACG,NAL,NAL,OBS,PRT,ACD,,OBS,SCL,PRT,APV
OBS,AUR,OBS,CBT,OBS,ACG,OBS,OBS,,LIT,ACG,OBS,OBS
ACP,OBS,ACP,SCL,AUR,OBS ,ACE,NAL,ACP,ACA,CBT,SCL,APV
OBS,PRT,OBS,CBT,OBS,ACG,PRT,AST,OBS,OBS,SCL,ACG,OBS
PRT,OBS,ACP,APV,ECA,OBS,NAL,OBS,ACG,ACG,ACE,OBS,APV
OBS,ACG,OBS,OBS,NAL,AST,OBS,AST,ACP,AUR,OBS,LCD,OBS
PRT,OBS,ACP,NAL,ECA,OBS,ACP,AUR,OBS,OBS,SCL,OBS,PRT
ACG,PRT,OBS,OBS,OBS,AST,PRT,OBS,ACP,SAC,ACE,AST,OBS
OBS,OBS,PRT,NAL,OBS,OBS,OBS,AST,OBS,OBS,OBS,OBS,PRT
ACG,ACG,OBS,OBS,CBA,ACG,AST,OBS,ACG,ACG,ACE,AST,OBS
OBS,OBS,NAL,APV,APV,OBS,OBS,AUR,OBS,OBS,OBS,OBS,PRT
PRT,PRT,OBS,OBS,PRT,ACG,LCD,OBS,AUR,AST,SCL,LCD,OBS
AST,OBS,CBA,AUR,ACD,NAL,OBS,ACG,OBS,OBS,AST,OBS,PRT
OBS,ACG,OBS,OBS,ACG,OBS,ECA,OBS,AST,AST,ACD,AUR,OBS
AST,OBS,AUR,AUR,ACP,NAL,PRT,NAL,OBS,OBS,CBT,OBS,PRT
OBS,ACG,OBS,OBS,ACA,OBS,OBS,AST,AUR,AST,SCL,AUR,OBS
AST,OBS,AST,PRT,AUR,ACG,ECA,OBS,OBS,APV,OBS,OBS,PRT
OBS,ACG,OBS,NAL,ACE,OBS,OBS,NAL,AUR,OBS,SCL,AUR,OBS
AST,ACE,ACD,OBS,LIT,ACG,SCL,ACG,OBS,APV,ACG,APV,LCD
OBS,OBS,AST,SCL,LCD,NAL,OBS,OBS,ECA,OBS,CBT,OBS,PRT
PRT,AUR,OBS,OBS,AST,OBS,SCL,NAL,OBS,APV,SCL,AUR,ACA
OBS,APV,AST,SCL,EMA,ACG,OBS,ACG,PRT,OBS,OBS,OBS,ACP
AST,OBS,OBS,OBS,SAC,NAL,SCL,OBS,OBS,NAL,CBT,NAL,LIT
OBS,PRT,AST,SCL,SCL,OBS,OBS,NAL,PRT,ACA,SCL,PRT,OBS
ACD,OBS,NAL,OBS,CBT,ACG,SCL,,OBS,OBS,AST,LCD,NAL
AST,PRT,OBS,SCL,ECA,OBS,OBS,,APV,SCL,OBS,OBS,OBS
APV,OBS,ACG,OBS,NAL,ACD,LIT,,OBS,ACD,AST,LCD,NAL
PRT,ACG,OBS,AST,OBS,OBS,NAL,,AST,OBS,ACE,AUR,AST
OBS,OBS,AST,OBS,SAC,ACD,LIT,,ACD,NAL,CBT,OBS,OBS
PRT,ACG,OBS,AST,OBS,OBS,NAL,,AUR,SCL,SCL,LCD,AST
ACE,ACE,AST,OBS,CBA,ACD,OBS,,OBS,ACD,OBS,OBS,OBS
